Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:0A,WILLIAMS COMMUNICATIONS GROUP,false,MA-L,2015/11/17
00:10:0B,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:0C,"ITO CO., LTD.",false,MA-L,2015/11/17
00:10:0D,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:0E,MICRO LINEAR COPORATION,false,MA-L,2015/11/17
00:10:0F,INDUSTRIAL CPU SYSTEMS,false,MA-L,2015/11/17
00:10:10,INITIO CORPORATION,false,MA-L,2015/11/17
00:10:11,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:12,PROCESSOR SYSTEMS (I) PVT LTD,false,MA-L,2015/11/17
00:10:13,"Kontron America, Inc.",false,MA-L,2015/11/17
00:10:14,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:15,OOmon Inc.,false,MA-L,2015/11/17
00:10:16,T.SQWARE,false,MA-L,2015/11/17
00:10:17,Bosch Access Systems GmbH,false,MA-L,2015/11/17
00:10:18,Broadcom,false,MA-L,2015/11/17
00:10:19,SIRONA DENTAL SYSTEMS GmbH & Co. KG,false,MA-L,2015/11/17
00:10:1A,PictureTel Corp.,false,MA-L,2015/11/17
00:10:1B,"CORNET TECHNOLOGY, INC.",false,MA-L,2015/11/17
00:10:1C,"OHM TECHNOLOGIES INTL, LLC",false,MA-L,2015/11/17
00:10:1D,WINBOND ELECTRONICS CORP.,false,MA-L,2015/11/17
00:10:1E,MATSUSHITA ELECTRONIC INSTRUMENTS CORP.,false,MA-L,2015/11/17
00:10:1F,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:20,Hand Held Products Inc,false,MA-L,2015/11/17
00:10:21,"ENCANTO NETWORKS, INC.",false,MA-L,2015/11/17
00:10:22,SatCom Media Corporation,false,MA-L,2015/11/17
00:10:23,Network Equipment Technologies,false,MA-L,2015/11/17
00:10:24,"NAGOYA ELECTRIC WORKS CO., LTD",false,MA-L,2015/11/17
00:10:25,"Grayhill, Inc",false,MA-L,2015/11/17
00:10:26,"ACCELERATED NETWORKS, INC.",false,MA-L,2015/11/17
00:10:27,L-3 COMMUNICATIONS EAST,false,MA-L,2015/11/17
00:10:28,"COMPUTER TECHNICA, INC.",false,MA-L,2015/11/17
00:10:29,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:2A,"ZF MICROSYSTEMS, INC.",false,MA-L,2015/11/17
00:10:2B,"UMAX DATA SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:2C,Lasat Networks A/S,false,MA-L,2015/11/17
00:10:2D,HITACHI SOFTWARE ENGINEERING,false,MA-L,2015/11/17
00:10:2E,NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.,false,MA-L,2015/11/17
00:10:2F,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:30,EION Inc.,false,MA-L,2015/11/17
00:10:31,"OBJECTIVE COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:32,ALTA TECHNOLOGY,false,MA-L,2015/11/17
00:10:33,"ACCESSLAN COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:34,GNP Computers,false,MA-L,2015/11/17
00:10:35,"Elitegroup Computer Systems Co.,Ltd.",false,MA-L,2019/07/02
00:10:36,INTER-TEL INTEGRATED SYSTEMS,false,MA-L,2015/11/17
00:10:37,"CYQ've Technology Co., Ltd.",false,MA-L,2015/11/17
00:10:38,Micro Research Ltd.,false,MA-L,2019/10/05
00:10:39,Vectron Systems AG,false,MA-L,2015/11/17
00:10:3A,DIAMOND NETWORK TECH,false,MA-L,2015/11/17
00:10:3B,HIPPI NETWORKING FORUM,false,MA-L,2015/11/17
00:10:3C,"IC ENSEMBLE, INC.",false,MA-L,2015/11/17
00:10:3D,"PHASECOM, LTD.",false,MA-L,2015/11/17
00:10:3E,NETSCHOOLS CORPORATION,false,MA-L,2015/11/17
00:10:3F,"TOLLGRADE COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:40,INTERMEC CORPORATION,false,MA-L,2015/11/17
00:10:41,"BRISTOL BABCOCK, INC.",false,MA-L,2015/11/17
00:10:43,A2 CORPORATION,false,MA-L,2015/11/17
00:10:44,InnoLabs Corporation,false,MA-L,2015/11/17
00:10:45,Nortel Networks,false,MA-L,2015/11/17
00:10:46,ALCORN MCBRIDE INC.,false,MA-L,2015/11/17
00:10:47,ECHO ELETRIC CO. LTD.,false,MA-L,2015/11/17
00:10:48,"HTRC AUTOMATION, INC.",false,MA-L,2015/11/17
00:10:49,"ShoreTel, Inc",false,MA-L,2015/11/17
00:10:4A,The Parvus Corporation,false,MA-L,2015/11/17
00:10:4B,3COM,false,MA-L,2018/06/02
00:10:4C,"Teledyne LeCroy, Inc",false,MA-L,2015/11/17
00:10:4D,"SURTEC INDUSTRIES, INC.",false,MA-L,2015/11/17
00:10:4E,CEOLOGIC,false,MA-L,2015/11/17
00:10:4F,Oracle Corporation,false,MA-L,2016/02/10
00:10:50,"RION CO., LTD.",false,MA-L,2015/11/17
00:10:51,CMICRO CORPORATION,false,MA-L,2015/11/17
00:10:52,METTLER-TOLEDO (ALBSTADT) GMBH,false,MA-L,2015/11/17
00:10:53,COMPUTER TECHNOLOGY CORP.,false,MA-L,2015/11/17
00:10:55,"FUJITSU MICROELECTRONICS, INC.",false,MA-L,2015/11/17
00:10:56,"SODICK CO., LTD.",false,MA-L,2015/11/17
00:10:57,"Rebel.com, Inc.",false,MA-L,2015/11/17
00:10:58,ArrowPoint Communications,false,MA-L,2015/11/17
00:10:59,DIABLO RESEARCH CO. LLC,false,MA-L,2015/11/17
00:10:5A,3COM,false,MA-L,2018/06/02
00:10:5B,NET INSIGHT AB,false,MA-L,2015/11/17
00:10:5C,QUANTUM DESIGNS (H.K.) LTD.,false,MA-L,2015/11/17
00:10:5D,Draeger Medical,false,MA-L,2015/11/17
00:10:5E,"Spirent plc, Service Assurance Broadband",false,MA-L,2015/11/17
00:10:5F,ZODIAC DATA SYSTEMS,false,MA-L,2015/11/17
00:10:60,"BILLIONTON SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:61,HOSTLINK CORP.,false,MA-L,2015/11/17
00:10:62,"NX SERVER, ILNC.",false,MA-L,2015/11/17
00:10:63,STARGUIDE DIGITAL NETWORKS,false,MA-L,2015/11/17
00:10:64,"DNPG, LLC",false,MA-L,2015/11/17
00:10:65,RADYNE CORPORATION,false,MA-L,2015/11/17
00:10:66,"ADVANCED CONTROL SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:67,Ericsson,false,MA-L,2015/11/17
00:10:68,COMOS TELECOM,false,MA-L,2015/11/17
00:10:69,"HELIOSS COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:6A,DIGITAL MICROWAVE CORPORATION,false,MA-L,2015/11/17
00:10:6B,"SONUS NETWORKS, INC.",false,MA-L,2015/11/17
00:10:6C,EDNT GmbH,false,MA-L,2015/11/17
00:10:6D,Axxcelera Broadband Wireless,false,MA-L,2015/11/17
